bfs_nummer,gemeinde,total_area,score_sum,mean_score
6621,Genève,18122505.970,84513245.682,4.663
6628,Lancy,4774218.534,21878178.802,4.583
6608,Carouge (GE),2696750.619,12141178.870,4.502
6613,Chêne-Bourg,1280732.546,5764756.610,4.501
5196,Massagno,739442.752,3281288.559,4.438
2701,Basel,23747749.554,103800296.478,4.371
6612,Chêne-Bougeries,4140265.429,18074661.781,4.366
5591,Renens (VD),2951254.056,12589384.246,4.266
6643,Vernier,7649423.357,31600428.532,4.131
6640,Thônex,3820313.826,15762780.450,4.126
5627,Chavannes-près-Renens,1648725.987,6638199.789,4.026
3215,Rorschach,1791417.995,7142170.192,3.987
261,Zürich,82078857.402,326322278.849,3.976
5120,Muralto,801830.741,3139053.385,3.915
6631,Onex,2784534.334,10895512.998,3.913
6623,Le Grand-Saconnex,4382138.205,17013117.087,3.882
5589,Prilly,2195193.416,8489063.974,3.867
351,Bern,37549991.833,144633929.424,3.852
2196,Fribourg,9022622.424,34527121.302,3.827
5586,Lausanne,29689893.353,113188572.321,3.812
5583,Crissier,3803274.274,14483555.073,3.808
2265,Kerzers,3052741.785,11593241.896,3.798
581,Interlaken,3197006.783,12125420.618,3.793
66,Opfikon,4645975.028,17492078.687,3.765
5890,Vevey,3487669.867,13096244.431,3.755
1061,Luzern,24318229.362,91213652.529,3.751
362,Ittigen,3742950.023,13972703.887,3.733
244,Geroldswil,1922047.428,6988355.759,3.636
5642,Morges,4902404.783,17686212.877,3.608
617,Niederhünigen,558618.153,2003881.183,3.587
371,Biel/Bienne,15929533.188,57097674.440,3.584
363,Ostermundigen,5507723.161,19630857.964,3.564
2769,Münchenstein,5958231.206,21224155.889,3.562
5590,Pully,6797900.518,24149524.623,3.552
2228,Villars-sur-Glâne,5470872.279,19330121.565,3.533
5225,Sorengo,846119.307,2989554.916,3.533
743,Nidau,1501003.409,5285479.303,3.521
6630,Meyrin,8946059.194,31475479.721,3.518
247,Schlieren,5498048.208,19264494.424,3.504
2765,Binningen,3923586.489,13660248.158,3.482
2762,Allschwil,5803999.988,20197798.838,3.480
4030,Killwangen,1168322.117,4061589.014,3.476
5162,Cadempino,762720.241,2647959.508,3.472
4021,Baden,12896200.898,44673199.744,3.464
1054,Ebikon,8661169.044,29879113.591,3.450
2601,Solothurn,5778076.569,19906195.090,3.445
6618,Confignon,2448929.088,8402079.662,3.431
2773,Reinach (BL),5540281.236,18851462.099,3.403
3203,St. Gallen,31319914.085,106540040.060,3.402
5584,Epalinges,3794484.589,12899965.935,3.400
6458,Neuchâtel,14916654.130,50599778.563,3.392
5167,Canobbio,1276150.846,4324685.634,3.389
1009,Werthenstein,1781944.667,6029256.938,3.384
2407,Oensingen,3492882.477,11801845.200,3.379
5624,Bussigny,3443110.541,11623005.271,3.376
612,Konolfingen,3508902.087,11839737.437,3.374
4671,Kreuzlingen,7777585.105,26152717.528,3.363
6217,Saint-Maurice,1445755.177,4858902.665,3.361
2703,Riehen,9217292.343,30935981.377,3.356
3296,Sargans,3295947.565,10970617.435,3.329
2766,Birsfelden,2312832.169,7693047.335,3.326
245,Oberengstringen,1992795.134,6610657.722,3.317
62,Kloten,10440296.263,34585742.930,3.313
6617,Cologny,5964971.593,19752453.061,3.311
2937,Neuhausen am Rheinfall,4440691.205,14556747.055,3.278
2767,Bottmingen,2470094.431,8084772.710,3.273
5938,Yverdon-les-Bains,9499431.198,30913409.087,3.254
5221,Savosa,745212.650,2422891.423,3.251
230,Winterthur,36648099.753,118814435.658,3.242
5250,Chiasso,3388810.855,10976498.489,3.239
2206,Marly,4732922.309,15323940.618,3.238
5724,Nyon,7163653.823,23065682.493,3.220
5588,Paudex,812406.586,2604758.862,3.206
53,Bülach,5857417.906,18776944.877,3.206
5495,Penthalaz,1828311.555,5853219.946,3.201
191,Dübendorf,9297212.688,29722912.197,3.197
5214,Porza,1495336.603,4780215.956,3.197
4001,Aarau,9929471.856,31645352.149,3.187
5635,Ecublens (VD),5418932.433,17245940.544,3.183
243,Dietikon,7917640.290,25123138.723,3.173
4946,Weinfelden,4781381.690,15165949.619,3.172
942,Thun,17626612.133,55870681.119,3.170
5231,Vezia,1356470.224,4295215.447,3.166
353,Bremgarten bei Bern,1776026.713,5621562.985,3.165
1107,Wolhusen,2667254.307,8440641.386,3.165
1059,Kriens,10440392.554,33019607.539,3.163
2939,Schaffhausen,17964847.025,56747358.155,3.159
6421,La Chaux-de-Fonds,14879711.892,46840581.989,3.148
6607,Bernex,9896486.547,31114741.409,3.144
4095,Brugg,6315294.986,19802577.044,3.136
2763,Arlesheim,3363874.922,10547315.070,3.135
69,Wallisellen,5397470.529,16921152.061,3.135
4045,Wettingen,5656491.448,17714763.797,3.132
141,Thalwil,4216870.799,13195740.198,3.129
356,Muri bei Bern,6379094.209,19956821.962,3.128
306,Lyss,5839831.601,18261047.237,3.127
6633,Plan-les-Ouates,5137790.770,16060121.460,3.126
361,Zollikofen,4631373.454,14464106.464,3.123
1708,Steinhausen,2955176.699,9228886.213,3.123
5210,Paradiso,1203458.440,3756181.885,3.121
4201,Lenzburg,4385251.592,13647233.553,3.112
6513,Laténa,5117749.460,15920631.794,3.111
29,Flurlingen,1452294.271,4510411.667,3.106
2771,Oberwil (BL),5299216.589,16434328.129,3.101
1024,Emmen,12557445.612,38810490.430,3.091
9328,Bodensee (SG),2520390.817,7781726.127,3.088
6297,Visp,5001642.349,15438888.761,3.087
6625,Hermance,2185716.290,6740453.106,3.084
3955,Landquart,3896006.401,12012680.313,3.083
5131,Tenero-Contra,2388506.925,7348130.827,3.076
249,Unterengstringen,2227469.247,6851253.576,3.076
2761,Aesch (BL),4267720.889,13095461.786,3.068
5242,Balerna,2241722.478,6868840.030,3.064
1103,Sursee,3805629.682,11658737.382,3.064
121,Wetzikon (ZH),8151252.985,24955951.564,3.062
6645,Veyrier,6372714.521,19501636.734,3.060
4436,Romanshorn,3835705.312,11726802.376,3.057
1711,Zug,13430304.907,41024403.620,3.055
5193,Magliaso,1477911.773,4509926.831,3.052
404,Burgdorf,7875483.024,23955881.767,3.042
4260,Stein (AG),2258718.202,6865901.040,3.040
4026,Ennetbaden,1745600.416,5303942.565,3.038
131,Adliswil,5517516.748,16746587.830,3.035
4137,Leimbach (AG),890905.136,2701124.308,3.032
5638,Lonay,2385271.894,7223709.092,3.028
135,Kilchberg (ZH),2573739.831,7791982.503,3.027
4029,Gebenstorf,3003241.951,9091800.828,3.027
2581,Olten,7597906.918,22923729.848,3.017
4034,Neuenhof,3379504.402,10189375.774,3.015
54,Dietlikon,2784899.550,8393984.572,3.014
4044,Untersiggenthal,3321143.129,9977708.522,3.004
5633,Echandens,2368654.131,7111846.364,3.002
5712,Coppet,2338935.124,7015099.677,2.999
2768,Ettingen,2493806.187,7475062.979,2.997
6606,Bellevue,3887916.016,11640724.163,2.994
739,Ipsach,1805360.955,5396343.645,2.989
5651,Villars-Sainte-Croix,1222637.662,3653325.896,2.988
6136,Martigny,6359847.260,18990107.274,2.986
4310,Koblenz,1612412.310,4810277.785,2.983
5587,Le Mont-sur-Lausanne,5772640.162,17191635.493,2.978
578,Gündlischwand,1334379.706,3972552.962,2.977
3427,Wil (SG),9521908.198,28306138.947,2.973
1707,Risch,7170852.182,21313541.346,2.972
197,Schwerzenbach,2225837.701,6615415.560,2.972
1362,Arth,7374024.423,21880444.739,2.967
355,Köniz,20451128.870,60605453.138,2.963
4040,Spreitenbach,5064972.037,14994822.501,2.960
5649,Tolochenaz,1549359.819,4586115.725,2.960
4009,Muhen,3340503.175,9873922.453,2.956
329,Langenthal,7162696.463,21157541.897,2.954
4013,Unterentfelden,2021746.065,5971118.693,2.953
5883,Corseaux,1355406.046,4001075.673,2.952
6634,Pregny-Chambésy,3887975.607,11475182.554,2.951
161,Zollikon,5734881.473,16812967.427,2.932
5257,Morbio Inferiore,1878538.584,5507258.821,2.932
2770,Muttenz,10056443.180,29481925.402,2.932
3340,Rapperswil-Jona,11203940.450,32802412.673,2.928
2775,Therwil,4514154.914,13205608.609,2.925
2861,Sissach,2979404.014,8705451.689,2.922
546,Münchenbuchsee,5545471.962,16182984.021,2.918
2829,Liestal,7528615.230,21962670.834,2.917
4123,Windisch,3301974.130,9617422.635,2.913
929,Hilterfingen,1594039.607,4638887.179,2.910
3022,Gais,3190403.724,9280466.481,2.909
6616,Collonge-Bellerive,6036776.362,17560104.829,2.909
5003,Cadenazzo,2759433.161,8026612.390,2.909
4027,Fislisbach,4423050.699,12856352.894,2.907
5412,Rennaz,1647510.678,4786139.718,2.905
444,Sonceboz-Sombeval,3058773.734,8880521.849,2.903
540,Jegenstorf,3059675.532,8882325.446,2.903
713,Tavannes,3061467.459,8885909.300,2.902
5886,Montreux,12925235.548,37504027.667,2.902
2148,Riaz,1974074.164,5727810.483,2.902
6636,Puplinge,2526123.144,7320448.350,2.898
4035,Niederrohrdorf,2198051.230,6361989.657,2.894
4038,Obersiggenthal,3727543.159,10782675.275,2.893
981,Niederbipp,5266292.185,15200303.774,2.886
2525,Kriegstetten,1088152.848,3140761.183,2.886
2534,Zuchwil,4070296.805,11747562.587,2.886
2824,Frenkendorf,1575509.728,4544597.237,2.885
2831,Pratteln,6576726.971,18919009.484,2.877
6711,Delémont,6507833.538,18718469.109,2.876
5192,Lugano,24699742.206,71039408.069,2.876
1507,Hergiswil (NW),4342025.314,12483027.924,2.875
4082,Wohlen (AG),6735028.599,19361667.962,2.875
4258,Rheinfelden,5802464.359,16664052.440,2.872
3901,Chur,16445053.818,47192555.498,2.870
4075,Rudolfstetten-Friedlisberg,2414206.529,6926137.355,2.869
4205,Othmarsingen,3003653.324,8611361.114,2.867
5729,Tannay,1113487.775,3190409.462,2.865
92,Oberglatt,2971614.967,8512254.126,2.865
5113,Locarno,7239211.959,20697058.070,2.859
3443,Gossau (SG),9476563.545,27093225.862,2.859
2198,Granges-Paccot,3131489.319,8947147.546,2.857
3733,Tamins,1387007.323,3961952.592,2.856
4506,Sulgen,3226409.496,9215793.373,2.856
5643,Préverenges,2244486.565,6402281.283,2.852
4198,Hendschiken,1116529.423,3181324.753,2.849
939,Steffisburg,6804288.540,19384902.307,2.849
5189,Lamone,1465562.131,4169456.028,2.845
2546,Grenchen,7043977.719,20036500.029,2.844
1703,Hünenberg,6162234.004,17526890.178,2.844
4289,Zofingen,5687784.452,16155861.473,2.840
7001,Vaduz,5545266.735,15745303.000,2.839
14,Wettswil am Albis,2996550.327,8507882.556,2.839
2822,Augst,1329705.932,3771456.201,2.836
785,Meiringen,3378920.520,9583259.194,2.836
5822,Payerne,3308117.197,9379208.775,2.835
4083,Zufikon,2701325.617,7650062.960,2.832
4007,Hirschthal,1217528.530,3445569.555,2.830
4871,Wagenhausen,3452963.157,9770951.746,2.830
496,Ins,3585710.430,10143237.166,2.829
6619,Corsier (GE),2464006.670,6967225.918,2.828
96,Regensdorf,7211397.541,20389982.372,2.827
193,Fällanden,4561678.921,12895198.633,2.827
2125,Bulle,8546146.864,24156026.714,2.827
192,Egg,7183640.094,20301492.620,2.826
6153,Monthey,7174831.048,20265187.456,2.824
250,Urdorf,4409789.012,12440214.745,2.821
118,Rüti (ZH),4546432.970,12807473.592,2.817
4037,Oberrohrdorf,1696495.845,4771750.361,2.813
5581,Belmont-sur-Lausanne,1657768.514,4660369.597,2.811
5401,Aigle,7688312.535,21610944.240,2.811
700,Moutier,3595073.762,10105281.169,2.811
544,Moosseedorf,1883785.645,5292903.455,2.810
198,Uster,15255102.038,42812987.841,2.806
1201,Altdorf (UR),5687161.315,15959542.661,2.806
4062,Berikon,2343272.788,6563267.163,2.801
3001,Herisau,10544027.281,29526400.431,2.800
4252,Kaiseraugst,2158607.185,6042301.098,2.799
4210,Staufen,626357.465,1752678.547,2.798
5805,Oron,7446176.125,20819080.814,2.796
5254,Mendrisio,11241559.249,31428068.071,2.796
2517,Derendingen,3607343.309,10084950.469,2.796
160,Zumikon,3634296.364,10155626.735,2.794
1322,Freienbach,10429574.965,29137564.926,2.794
4271,Aarburg,3254308.882,9086460.897,2.792
3374,Lichtensteig,1075139.006,2995593.536,2.786
4003,Buchs (AG),2893786.117,8058560.678,2.785
1702,Cham,9651637.707,26862372.169,2.783
4140,Oberkulm,2427326.744,6752698.379,2.782
3315,Schänis,3882717.685,10785351.777,2.778
5521,Etagnières,2143039.083,5950103.804,2.776
4061,Arni (AG),2052835.401,5698599.459,2.776
6632,Perly-Certoux,1876757.996,5196963.126,2.769
5187,Gravesano,670224.388,1853275.745,2.765
751,Täuffelen,2719551.632,7515336.861,2.763
4141,Reinach (AG),2911183.477,8043231.113,2.763
358,Stettlen,2272383.926,6267980.783,2.758
750,Sutz-Lattrigen,2614781.957,7211593.615,2.758
870,Kehrsatz,2546019.012,7020798.166,2.758
199,Volketswil,6856350.402,18897861.573,2.756
3442,Gaiserwald,6108709.000,16830500.124,2.755
4309,Klingnau,2167167.905,5969785.680,2.755
352,Bolligen,4073355.935,11213731.946,2.753
3,Bonstetten,3142944.559,8651099.874,2.753
2583,Schönenwerd,2376600.116,6540735.050,2.752
4063,Bremgarten (AG),4677318.532,12859840.426,2.749
