bfs_nummer,gemeinde,total_area,score_sum,mean_score
6621,Genève,18122505.970,102635751.652,5.663
6628,Lancy,4774218.534,26652397.336,5.583
6608,Carouge (GE),2696750.619,14837929.488,5.502
6613,Chêne-Bourg,1280732.546,7045489.156,5.501
5196,Massagno,739442.752,4020731.311,5.438
2701,Basel,23747749.554,127548046.032,5.371
6612,Chêne-Bougeries,4140265.429,22214927.210,5.366
5591,Renens (VD),2951254.056,15540638.303,5.266
6643,Vernier,7649423.357,39249851.889,5.131
6640,Thônex,3820313.826,19583094.276,5.126
5627,Chavannes-près-Renens,1648725.987,8286925.776,5.026
3215,Rorschach,1791417.995,8933588.187,4.987
261,Zürich,82078857.402,408401136.251,4.976
5120,Muralto,801830.741,3940884.127,4.915
6631,Onex,2784534.334,13680047.332,4.913
6623,Le Grand-Saconnex,4382138.205,21395255.292,4.882
5589,Prilly,2195193.416,10684257.391,4.867
351,Bern,37549991.833,182183921.257,4.852
2196,Fribourg,9022622.424,43549743.726,4.827
5586,Lausanne,29689893.353,142878465.674,4.812
5583,Crissier,3803274.274,18286829.348,4.808
2265,Kerzers,3052741.785,14645983.681,4.798
581,Interlaken,3197006.783,15322427.401,4.793
66,Opfikon,4645975.028,22138053.715,4.765
5890,Vevey,3487669.867,16583914.297,4.755
1061,Luzern,24318229.362,115531881.891,4.751
362,Ittigen,3742950.023,17715653.910,4.733
244,Geroldswil,1922047.428,8910403.188,4.636
5642,Morges,4902404.783,22588617.660,4.608
617,Niederhünigen,558618.153,2562499.336,4.587
371,Biel/Bienne,15929533.188,73027207.629,4.584
363,Ostermundigen,5507723.161,25138581.125,4.564
2769,Münchenstein,5958231.206,27182387.095,4.562
5590,Pully,6797900.518,30947425.141,4.552
2228,Villars-sur-Glâne,5470872.279,24800993.844,4.533
5225,Sorengo,846119.307,3835674.223,4.533
743,Nidau,1501003.409,6786482.711,4.521
6630,Meyrin,8946059.194,40421538.915,4.518
247,Schlieren,5498048.208,24762542.632,4.504
2765,Binningen,3923586.489,17583834.647,4.482
2762,Allschwil,5803999.988,26001798.826,4.480
4030,Killwangen,1168322.117,5229911.132,4.476
5162,Cadempino,762720.241,3410679.749,4.472
4021,Baden,12896200.898,57569400.642,4.464
1054,Ebikon,8661169.044,38540282.635,4.450
2601,Solothurn,5778076.569,25684271.659,4.445
6618,Confignon,2448929.088,10851008.750,4.431
2773,Reinach (BL),5540281.236,24391743.335,4.403
3203,St. Gallen,31319914.085,137859954.144,4.402
5584,Epalinges,3794484.589,16694450.524,4.400
6458,Neuchâtel,14916654.130,65516432.693,4.392
5167,Canobbio,1276150.846,5600836.479,4.389
1009,Werthenstein,1781944.667,7811201.606,4.384
2407,Oensingen,3492882.477,15294727.677,4.379
5624,Bussigny,3443110.541,15066115.813,4.376
612,Konolfingen,3508902.087,15348639.525,4.374
4671,Kreuzlingen,7777585.105,33930302.633,4.363
6217,Saint-Maurice,1445755.177,6304657.843,4.361
2703,Riehen,9217292.343,40153273.720,4.356
3296,Sargans,3295947.565,14266565.000,4.329
2766,Birsfelden,2312832.169,10005879.504,4.326
245,Oberengstringen,1992795.134,8603452.856,4.317
62,Kloten,10440296.263,45026039.193,4.313
6617,Cologny,5964971.593,25717424.654,4.311
2937,Neuhausen am Rheinfall,4440691.205,18997438.260,4.278
2767,Bottmingen,2470094.431,10554867.140,4.273
5938,Yverdon-les-Bains,9499431.198,40412840.285,4.254
5221,Savosa,745212.650,3168104.073,4.251
230,Winterthur,36648099.753,155462535.412,4.242
5250,Chiasso,3388810.855,14365309.344,4.239
2206,Marly,4732922.309,20056862.928,4.238
5724,Nyon,7163653.823,30229336.316,4.220
5588,Paudex,812406.586,3417165.447,4.206
53,Bülach,5857417.906,24634362.783,4.206
5495,Penthalaz,1828311.555,7681531.501,4.201
191,Dübendorf,9297212.688,39020124.886,4.197
5214,Porza,1495336.603,6275552.559,4.197
4001,Aarau,9929471.856,41574824.005,4.187
5635,Ecublens (VD),5418932.433,22664872.977,4.183
243,Dietikon,7917640.290,33040779.013,4.173
4946,Weinfelden,4781381.690,19947331.309,4.172
942,Thun,17626612.133,73497293.252,4.170
5231,Vezia,1356470.224,5651685.671,4.166
353,Bremgarten bei Bern,1776026.713,7397589.698,4.165
1107,Wolhusen,2667254.307,11107895.693,4.165
1059,Kriens,10440392.554,43460000.093,4.163
2939,Schaffhausen,17964847.025,74712205.180,4.159
6421,La Chaux-de-Fonds,14879711.892,61720293.881,4.148
6607,Bernex,9896486.547,41011227.956,4.144
4095,Brugg,6315294.986,26117872.030,4.136
2763,Arlesheim,3363874.922,13911189.992,4.135
69,Wallisellen,5397470.529,22318622.589,4.135
4045,Wettingen,5656491.448,23371255.246,4.132
141,Thalwil,4216870.799,17412610.997,4.129
356,Muri bei Bern,6379094.209,26335916.171,4.128
306,Lyss,5839831.601,24100878.839,4.127
6633,Plan-les-Ouates,5137790.770,21197912.230,4.126
361,Zollikofen,4631373.454,19095479.919,4.123
1708,Steinhausen,2955176.699,12184062.912,4.123
